iteration,block,gen,kill,in,out
1,B82,{D47},"{D43, D44, D48, D60}","{D42, D43, D44, D46}","{D42, D46, D47}"
1,B83,{D48},"{D43, D44, D47, D60}","{D42, D43, D44, D46, D47}","{D42, D46, D48}"
1,B84,{},{},"{D42, D46, D48}","{D42, D46, D48}"
1,B85,{},{},{},{}
1,B86,{},{},{},{}
1,B87,{},{},{},{}
1,B88,{},{},{},{}
1,B89,{},{},{},{}
1,B90,{},{},{},{}
1,B91,"{D49, D50, D51, D52}","{D11, D12, D15, D16, D21, D3, D4, D5, D53, D55, D56, D58, D63, D64}",{},"{D49, D50, D51, D52}"
1,B92,{},{},{},{}
1,B93,{},{},{},{}
1,B94,{D53},"{D50, D55, D56, D58, D63, D64}",{},{D53}
1,B95,{},{},{D53},{D53}
1,B96,{},{},{D53},{D53}
1,B97,{},{},{D53},{D53}
1,B98,{},{},{D53},{D53}
1,B99,{D54},{},{D53},"{D53, D54}"
1,B100,{},{},"{D53, D54}","{D53, D54}"
1,B101,{},{},"{D53, D54}","{D53, D54}"
1,B102,{},{},"{D53, D54}","{D53, D54}"
1,B103,{D55},"{D50, D53, D56, D58, D63, D64}","{D53, D54}","{D54, D55}"
1,B104,{},{},"{D54, D55}","{D54, D55}"
1,B105,{D56},"{D50, D53, D55, D58, D63, D64}","{D54, D55}","{D54, D56}"
1,B106,{},{},"{D54, D56}","{D54, D56}"
1,B107,{},{},"{D54, D56}","{D54, D56}"
1,B108,{D57},{},"{D54, D56}","{D54, D56, D57}"
1,B109,{},{},"{D54, D56, D57}","{D54, D56, D57}"
1,B110,{},{},"{D54, D56, D57}","{D54, D56, D57}"
1,B111,{},{},"{D54, D56, D57}","{D54, D56, D57}"
1,B112,{},{},"{D54, D56, D57}","{D54, D56, D57}"
1,B113,{D58},"{D50, D53, D55, D56, D63, D64}","{D54, D56, D57}","{D54, D57, D58}"
1,B114,{},{},"{D54, D56, D57, D58}","{D54, D56, D57, D58}"
1,B115,"{D59, D60}","{D36, D37, D40, D41, D43, D44, D47, D48}","{D54, D56, D57, D58}","{D54, D56, D57, D58, D59, D60}"
1,B116,{},{},"{D54, D56, D57, D58, D59, D60}","{D54, D56, D57, D58, D59, D60}"
1,B117,{},{},"{D54, D56, D57, D58, D59, D60}","{D54, D56, D57, D58, D59, D60}"
1,B118,{},{},"{D54, D56, D57, D58, D59, D60}","{D54, D56, D57, D58, D59, D60}"
1,B119,{},{},"{D54, D56, D57, D58, D59, D60}","{D54, D56, D57, D58, D59, D60}"
1,B120,{D61},{D62},"{D54, D56, D57, D58, D59, D60}","{D54, D56, D57, D58, D59, D60, D61}"
1,B121,{},{},"{D54, D56, D57, D58, D59, D60, D61}","{D54, D56, D57, D58, D59, D60, D61}"
1,B122,{},{},"{D54, D56, D57, D58, D59, D60, D61}","{D54, D56, D57, D58, D59, D60, D61}"
1,B123,{},{},"{D54, D56, D57, D58, D59, D60, D61}","{D54, D56, D57, D58, D59, D60, D61}"
1,B124,{},{},"{D54, D56, D57, D58, D59, D60, D61}","{D54, D56, D57, D58, D59, D60, D61}"
1,B125,{D62},{D61},"{D54, D56, D57, D58, D59, D60, D61}","{D54, D56, D57, D58, D59, D60, D62}"
1,B126,{},{},"{D54, D56, D57, D58, D59, D60, D61, D62}","{D54, D56, D57, D58, D59, D60, D61, D62}"
1,B127,{},{},"{D54, D56, D57, D58, D59, D60, D61, D62}","{D54, D56, D57, D58, D59, D60, D61, D62}"
1,B128,{D64},"{D50, D53, D55, D56, D58, D63}","{D54, D56, D57, D58, D59, D60, D61, D62}","{D54, D57, D59, D60, D61, D62, D64}"
1,B129,{},{},{},{}
2,B0,{D1},{D34},{},{D1}
2,B1,{},{},{D1},{D1}
2,B2,"{D2, D3}","{D11, D15, D20, D4, D51}",{D1},"{D1, D2, D3}"
2,B3,{},{},{D1},{D1}
2,B4,{},{},{D1},{D1}
2,B5,{D4},"{D11, D15, D3, D51}",{D1},"{D1, D4}"
2,B6,{D5},"{D12, D16, D21, D52}","{D1, D4}","{D1, D4, D5}"
2,B7,{},{},"{D1, D4, D5}","{D1, D4, D5}"
2,B8,{},{},"{D1, D4, D5}","{D1, D4, D5}"
2,B9,{},{},"{D1, D4, D5}","{D1, D4, D5}"
2,B10,"{D6, D7}","{D10, D13, D14, D35, D38, D39, D42, D45, D46, D8, D9}","{D1, D4, D5}","{D1, D4, D5, D6, D7}"
2,B11,{},{},"{D1, D4, D5, D6, D7, D8}","{D1, D4, D5, D6, D7, D8}"
2,B12,{D8},{D7},"{D1, D4, D5, D6, D7, D8}","{D1, D4, D5, D6, D8}"
2,B13,{D9},"{D10, D13, D14, D35, D38, D39, D42, D45, D46, D6}","{D1, D4, D5, D6, D8}","{D1, D4, D5, D8, D9}"
2,B14,{D10},"{D13, D14, D35, D38, D39, D42, D45, D46, D6, D9}","{D1, D4, D5, D8, D9}","{D1, D10, D4, D5, D8}"
2,B15,{},{},"{D1, D10, D4, D5, D8, D9}","{D1, D10, D4, D5, D8, D9}"
2,B16,{},{},"{D1, D10, D4, D5, D8}","{D1, D10, D4, D5, D8}"
2,B17,{D11},"{D15, D3, D4, D51}","{D1, D10, D4, D5, D8}","{D1, D10, D11, D5, D8}"
2,B18,{D12},"{D16, D21, D5, D52}","{D1, D10, D11, D5, D8}","{D1, D10, D11, D12, D8}"
2,B19,{},{},"{D1, D10, D11, D12, D5, D8}","{D1, D10, D11, D12, D5, D8}"
2,B20,{},{},{},{}
2,B21,{},{},{},{}
2,B22,{},{},{},{}
2,B23,{},{},{},{}
2,B24,{D13},"{D10, D14, D35, D38, D39, D42, D45, D46, D6, D9}",{},{D13}
2,B25,{D14},"{D10, D13, D35, D38, D39, D42, D45, D46, D6, D9}","{D13, D14}",{D14}
2,B26,{},{},{D14},{D14}
2,B27,{},{},{},{}
2,B28,{},{},{},{}
2,B29,{D15},"{D11, D3, D4, D51}",{},{D15}
2,B30,{D16},"{D12, D21, D5, D52}",{D15},"{D15, D16}"
2,B31,{},{},"{D15, D16}","{D15, D16}"
2,B32,{},{},"{D15, D16}","{D15, D16}"
