iteration,block,gen,kill,in,out
1,B70,"{D35, D36}","{D29, D57}","{D22, D29, D30, D31, D32, D33, D34}","{D22, D30, D31, D32, D33, D34, D35, D36}"
1,B71,{},{},"{D22, D29, D30, D31, D32, D33, D34}","{D22, D29, D30, D31, D32, D33, D34}"
1,B72,{D37},"{D39, D43, D62, D65, D67}",{},{D37}
1,B73,{},{},{D37},{D37}
1,B74,{D38},{},{D37},"{D37, D38}"
1,B75,{},{},"{D37, D38}","{D37, D38}"
1,B76,"{D39, D40}","{D37, D43, D44, D62, D65, D67, D68}","{D37, D38}","{D38, D39, D40}"
1,B77,{},{},"{D37, D38, D39, D40}","{D37, D38, D39, D40}"
1,B78,"{D41, D42}","{D45, D46, D63, D66, D69, D70}","{D37, D38, D39, D40}","{D37, D38, D39, D40, D41, D42}"
1,B79,{},{},"{D37, D38, D39, D40, D41, D42}","{D37, D38, D39, D40, D41, D42}"
1,B80,"{D43, D44, D45, D46, D47}","{D37, D39, D40, D41, D42, D48, D62, D63, D65, D66, D67, D68, D69, D70}","{D37, D38, D39, D40, D41, D42}","{D38, D43, D44, D45, D46, D47}"
1,B81,{D48},{D47},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D47}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}"
1,B82,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}"
1,B83,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}"
1,B84,{D49},"{D51, D58, D59, D60}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49}"
1,B85,{D50},"{D52, D61}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50}"
1,B86,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50}"
1,B87,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50}"
1,B88,{D51},"{D49, D58, D59, D60}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D50, D51}"
1,B89,{D52},"{D50, D61}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D50, D51}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52}"
1,B90,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52}"
1,B91,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52}"
1,B92,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52}"
1,B93,"{D53, D54}",{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}"
1,B94,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}"
1,B95,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}"
1,B96,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}"
1,B97,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}"
1,B98,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}"
1,B99,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}"
1,B100,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}"
1,B101,{D55},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55}"
1,B102,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55}"
1,B103,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55}"
1,B104,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55}"
1,B105,"{D56, D57}","{D29, D36}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}"
1,B106,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}"
1,B107,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}"
1,B108,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}"
1,B109,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}"
1,B110,{D58},"{D49, D51, D59, D60}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D49, D51, D52, D53, D54, D55, D56, D57}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58}"
1,B111,{D59},"{D49, D51, D58, D60}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D59}"
1,B112,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}"
1,B113,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}"
1,B114,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}"
1,B115,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}"
1,B116,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}"
1,B117,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}"
1,B118,{D60},"{D49, D51, D58, D59}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D60}"
1,B119,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60}"
1,B120,{D61},"{D50, D52}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D53, D54, D55, D56, D57, D58, D59, D60, D61}"
1,B121,{},{},"{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61}","{D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D48, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61}"
